GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banco-de-questoes,com.bdq.model.entities,Professor,0,10,0,0,0,3,0,2,0,2
banco-de-questoes,com.bdq.model.entities,Tema,3,23,0,0,1,10,1,5,1,5
banco-de-questoes,com.bdq.model.entities,Questao,19,146,2,14,8,41,7,19,5,13
banco-de-questoes,com.bdq.model.entities,Aluno,0,20,0,0,0,8,0,4,0,4
banco-de-questoes,com.bdq.model.entities,Relatorio,56,0,0,0,23,0,12,0,12,0
banco-de-questoes,com.bdq.model.entities,Usuario,31,53,0,2,13,21,8,8,8,7
banco-de-questoes,com.bdq.model.services,TemaServices,32,0,0,0,9,0,6,0,6,0
banco-de-questoes,com.bdq.model.services,BancoDeQuestoes,31,38,2,6,9,8,5,4,4,1
banco-de-questoes,com.bdq.model.services,AlunoServices,42,35,0,8,9,10,7,5,7,1
banco-de-questoes,com.bdq.model.services,Cadastro,19,0,2,0,5,0,4,0,3,0
banco-de-questoes,com.bdq.model.services,ProfessorServices,36,0,0,0,9,0,6,0,6,0
banco-de-questoes,com.bdq.model.services.util,CpfUtil,12,177,15,27,5,33,16,8,1,2
banco-de-questoes,com.bdq.model.services.util,NomeUtil,3,32,0,8,1,9,1,5,1,1
banco-de-questoes,com.bdq.config.util,DaoUtil,7,108,1,25,3,30,2,14,1,2
